광역지차제명,기초지자체명,인구수
서울특별시,종로구,"138,336"
서울특별시,중구,"120,544"
서울특별시,용산구,"203,854"
서울특별시,성동구,"273,669"
서울특별시,광진구,"331,963"
서울특별시,동대문구,"338,735"
서울특별시,중랑구,"379,274"
서울특별시,성북구,"421,560"
서울특별시,강북구,"283,597"
서울특별시,도봉구,"303,228"
서울특별시,노원구,"491,247"
서울특별시,은평구,"460,919"
서울특별시,서대문구,"302,853"
서울특별시,마포구,"361,417"
서울특별시,양천구,"430,976"
서울특별시,강서구,"556,171"
서울특별시,구로구,"388,169"
서울특별시,금천구,"225,159"
서울특별시,영등포구,"373,773"
서울특별시,동작구,"375,799"
서울특별시,관악구,"477,812"
서울특별시,서초구,"408,376"
서울특별시,강남구,"557,345"
서울특별시,송파구,"650,110"
서울특별시,강동구,"476,942"
부산광역시,중구,"37,537"
부산광역시,서구,"103,188"
부산광역시,동구,"85,911"
부산광역시,영도구,"103,737"
부산광역시,부산진구,"359,281"
부산광역시,동래구,"274,370"
부산광역시,남구,"254,498"
부산광역시,북구,"267,692"
부산광역시,해운대구,"376,404"
부산광역시,사하구,"292,491"
부산광역시,금정구,"209,932"
부산광역시,강서구,"142,789"
부산광역시,연제구,"212,589"
부산광역시,수영구,"171,918"
부산광역시,사상구,"198,635"
부산광역시,기장군,"175,626"
대구광역시,중구,"97,711"
대구광역시,동구,"342,339"
대구광역시,서구,"163,135"
대구광역시,남구,"136,263"
대구광역시,북구,"413,010"
대구광역시,수성구,"409,107"
대구광역시,달서구,"522,021"
대구광역시,달성군,"257,580"
대구광역시,군위군,"22,463"
인천광역시,소계,"3,021,010"
인천광역시,중구,"167,113"
인천광역시,동구,"58,296"
인천광역시,미추홀구,"412,274"
인천광역시,연수구,"400,213"
인천광역시,남동구,"486,225"
인천광역시,부평구,"493,200"
인천광역시,계양구,"280,227"
인천광역시,서구,"634,064"
인천광역시,강화군,"69,402"
인천광역시,옹진군,"19,996"
광주광역시,소계,"1,408,422"
광주광역시,동구,"106,203"
광주광역시,서구,"279,050"
광주광역시,남구,"207,597"
광주광역시,북구,"423,961"
광주광역시,광산구,"391,611"
대전광역시,소계,"1,439,157"
대전광역시,동구,"218,513"
대전광역시,중구,"225,008"
대전광역시,서구,"457,951"
대전광역시,유성구,"369,468"
대전광역시,대덕구,"168,217"
울산광역시,소계,"1,098,049"
울산광역시,중구,"207,000"
울산광역시,남구,"304,885"
울산광역시,동구,"150,836"
울산광역시,북구,"216,522"
울산광역시,울주군,"218,806"
세종특별자치시,소계,"390,685"
세종특별자치시,세종특별자치시,"390,685"
경기도,소계,"13,694,685"
경기도,수원시,"1,193,005"
경기도,성남시,"913,009"
경기도,고양시,"1,070,120"
경기도,용인시,"1,085,864"
경기도,부천시,"769,918"
경기도,안산시,"620,579"
경기도,안양시,"556,492"
경기도,남양주시,"732,482"
경기도,화성시,"968,821"
경기도,평택시,"598,556"
경기도,의정부시,"461,271"
경기도,시흥시,"518,132"
경기도,파주시,"511,308"
경기도,광명시,"278,167"
경기도,김포시,"486,853"
경기도,군포시,"255,931"
경기도,광주시,"397,605"
경기도,이천시,"222,443"
경기도,양주시,"289,005"
경기도,오산시,"242,065"
경기도,구리시,"186,882"
경기도,안성시,"193,949"
경기도,포천시,"141,463"
경기도,의왕시,"154,488"
경기도,하남시,"329,120"
경기도,여주시,"114,610"
경기도,양평군,"126,804"
경기도,동두천시,"86,838"
경기도,과천시,"85,512"
경기도,가평군,"62,527"
경기도,연천군,"40,866"
강원특별자치도,소계,"1,517,766"
강원특별자치도,춘천시,"286,069"
강원특별자치도,원주시,"362,164"
강원특별자치도,강릉시,"207,731"
강원특별자치도,동해시,"87,675"
강원특별자치도,태백시,"37,936"
강원특별자치도,속초시,"80,933"
강원특별자치도,삼척시,"61,735"
강원특별자치도,홍천군,"66,717"
강원특별자치도,횡성군,"46,111"
강원특별자치도,영월군,"36,721"
강원특별자치도,평창군,"40,396"
강원특별자치도,정선군,"33,515"
강원특별자치도,철원군,"40,497"
강원특별자치도,화천군,"22,922"
강원특별자치도,양구군,"20,621"
강원특별자치도,인제군,"31,535"
강원특별자치도,고성군,"26,999"
강원특별자치도,양양군,"27,489"
충청북도,소계,"1,591,177"
충청북도,청주시,"854,537"
충청북도,충주시,"207,241"
충청북도,제천시,"128,569"
충청북도,보은군,"30,527"
충청북도,옥천군,"48,204"
충청북도,영동군,"43,551"
충청북도,진천군,"86,537"
충청북도,괴산군,"36,252"
충청북도,음성군,"91,236"
충청북도,단양군,"27,352"
충청북도,증평군,"37,171"
충청남도,소계,"2,136,574"
충청남도,천안시,"659,920"
충청남도,공주시,"101,285"
충청남도,보령시,"93,780"
충청남도,아산시,"355,014"
충청남도,서산시,"174,445"
충청남도,논산시,"108,529"
충청남도,계룡시,"46,540"
충청남도,당진시,"171,931"
충청남도,금산군,"49,615"
충청남도,부여군,"59,550"
충청남도,서천군,"48,204"
충청남도,청양군,"29,658"
충청남도,홍성군,"99,198"
충청남도,예산군,"78,772"
충청남도,태안군,"60,133"
전북특별자치도,소계,"1,738,690"
전북특별자치도,전주시,"635,651"
전북특별자치도,군산시,"258,047"
전북특별자치도,익산시,"268,001"
전북특별자치도,정읍시,"102,127"
전북특별자치도,남원시,"75,647"
전북특별자치도,김제시,"80,635"
전북특별자치도,완주군,"99,279"
전북특별자치도,진안군,"24,161"
전북특별자치도,무주군,"23,032"
전북특별자치도,장수군,"20,663"
전북특별자치도,임실군,"25,577"
전북특별자치도,순창군,"26,822"
전북특별자치도,고창군,"50,982"
전북특별자치도,부안군,"48,066"
전라남도,소계,"1,788,819"
전라남도,목포시,"209,890"
전라남도,여수시,"267,816"
전라남도,순천시,"276,329"
전라남도,나주시,"116,654"
전라남도,광양시,"154,692"
전라남도,담양군,"44,623"
전라남도,곡성군,"26,566"
전라남도,구례군,"24,025"
전라남도,고흥군,"60,190"
전라남도,보성군,"37,045"
전라남도,화순군,"60,735"
전라남도,장흥군,"34,451"
전라남도,강진군,"32,189"
전라남도,해남군,"63,120"
전라남도,영암군,"51,391"
전라남도,무안군,"92,687"
전라남도,함평군,"30,010"
전라남도,영광군,"52,098"
전라남도,장성군,"42,026"
전라남도,완도군,"45,631"
전라남도,진도군,"28,478"
전라남도,신안군,"38,173"
경상북도,소계,"2,531,384"
경상북도,포항시,"491,581"
경상북도,경주시,"244,769"
경상북도,김천시,"135,446"
경상북도,안동시,"153,159"
경상북도,구미시,"404,820"
경상북도,영주시,"98,870"
경상북도,영천시,"98,143"
경상북도,상주시,"91,850"
경상북도,문경시,"67,257"
경상북도,경산시,"266,398"
경상북도,의성군,"48,690"
경상북도,청송군,"23,716"
경상북도,영양군,"15,328"
경상북도,영덕군,"33,210"
경상북도,청도군,"40,582"
경상북도,고령군,"30,062"
경상북도,성주군,"41,452"
경상북도,칠곡군,"107,383"
경상북도,예천군,"54,609"
경상북도,봉화군,"28,836"
경상북도,울진군,"46,124"
경상북도,울릉군,"9,099"
경상남도,소계,"3,228,380"
경상남도,창원시,"999,858"
경상남도,진주시,"338,785"
경상남도,통영시,"118,481"
경상남도,사천시,"108,504"
경상남도,김해시,"531,676"
경상남도,밀양시,"100,691"
경상남도,거제시,"232,972"
경상남도,양산시,"359,531"
경상남도,의령군,"25,150"
경상남도,함안군,"58,842"
경상남도,창녕군,"56,085"
경상남도,고성군,"48,005"
경상남도,남해군,"39,832"
경상남도,하동군,"40,765"
경상남도,산청군,"33,259"
경상남도,함양군,"36,131"
경상남도,거창군,"59,588"
경상남도,합천군,"40,225"
제주특별자치도,소계,"670,368"
제주특별자치도,제주시,"488,348"
제주특별자치도,서귀포시,"182,020"
